CDF,DateSolde,Solde
82506,2020-04-02,-230014.7
82507,2020-04-02,-795950.73
82508,2020-04-02,-286034.45
82509,2020-04-02,-723733.1
82510,2020-04-02,-371202.78
82511,2020-04-02,-485877.82
82601,2020-04-02,-231600.15
1001,2020-04-03,-428286.47
1002,2020-04-03,-253706.68
1003,2020-04-03,-1624386.82
1004,2020-04-03,-405000.28
1005,2020-04-03,-550043.27
1006,2020-04-03,-1121668.37
1007,2020-04-03,-678512.4
1008,2020-04-03,-242482.17
1009,2020-04-03,-243043.49
1010,2020-04-03,-680035.93
1011,2020-04-03,-417221.22
1012,2020-04-03,-574454.16
1013,2020-04-03,-166030.64
1014,2020-04-03,-483204.42
1015,2020-04-03,-404195.5
1016,2020-04-03,-394668.99
1018,2020-04-03,-499403.66
1019,2020-04-03,-267077.74
1023,2020-04-03,-371147.4
1024,2020-04-03,-472374.8
1025,2020-04-03,-592008.4
1026,2020-04-03,-289142.27
1027,2020-04-03,-216949.9
1029,2020-04-03,-477850.81
1030,2020-04-03,-78700.91
1031,2020-04-03,-318295.32
1101,2020-04-03,-756832.56
1102,2020-04-03,-627617.89
1201,2020-04-03,-1057342.14
1301,2020-04-03,-996676.21
1501,2020-04-03,-1115972.44
2101,2020-04-03,-650122.12
2102,2020-04-03,-1301844.2
2103,2020-04-03,-625761.6
2201,2020-04-03,-1864810.92
2202,2020-04-03,-361029.55
2203,2020-04-03,-658380.66
2204,2020-04-03,-294049.51
2205,2020-04-03,-812586.53
2801,2020-04-03,-744777.48
2802,2020-04-03,-480996.84
3201,2020-04-03,-824263.36
4101,2020-04-03,-450896.53
4102,2020-04-03,-782153.72
4701,2020-04-03,-394250.02
5001,2020-04-03,-514115.65
5002,2020-04-03,-95059.95
5003,2020-04-03,-236716.85
5004,2020-04-03,-275025.7
5501,2020-04-03,-214284.04
5701,2020-04-03,-501085.57
6101,2020-04-03,-311079.35
7001,2020-04-03,-654854.18
9001,2020-04-03,-160039.03
9002,2020-04-03,-42512.38
9003,2020-04-03,-467650.16
9004,2020-04-03,-827225.79
9005,2020-04-03,-90562.23
9007,2020-04-03,-48374.6
9008,2020-04-03,-909151.73
9501,2020-04-03,-250995.92
9502,2020-04-03,-459306.01
9601,2020-04-03,-74825.48
10101,2020-04-03,-1137543.52
10102,2020-04-03,-190580.66
10103,2020-04-03,-989152.33
10401,2020-04-03,-280447.47
11001,2020-04-03,-1389339.22
11002,2020-04-03,-124047.48
12101,2020-04-03,-584769.03
12102,2020-04-03,-303071.04
12201,2020-04-03,-420626.95
13001,2020-04-03,-2368041.63
15001,2020-04-03,-253735.03
15002,2020-04-03,-408467.41
17001,2020-04-03,-936148.32
17002,2020-04-03,-523972.31
17003,2020-04-03,-391912.11
17004,2020-04-03,-378073.77
17005,2020-04-03,-516173.8
17006,2020-04-03,-476191.92
17007,2020-04-03,-142510.37
17008,2020-04-03,-1119304.43
17009,2020-04-03,-155826.5
17010,2020-04-03,-1495656.16
17011,2020-04-03,-314677.27
17012,2020-04-03,-202827.47
17013,2020-04-03,-68623.3
17014,2020-04-03,-297150.64
17015,2020-04-03,-296109.52
17601,2020-04-03,-458667.96
17701,2020-04-03,-72699.16
17901,2020-04-03,-414345.16
18601,2020-04-03,-112606.94
19001,2020-04-03,-609032.74
